labels,results
building drawing,172
building furniture,5
building jewellery,4
building map,2
building painting,123
building photograph,114
building postcard,1245
building sculpture,15
building tapestry,4
building textile,44
building toy,4
building woodwork,1
ceramics drawing,48
ceramics furniture,25
ceramics jewellery,5
ceramics painting,7
ceramics photograph,3
ceramics sculpture,264
ceramics textile,56
ceramics toy,29
ceramics clothing,1
drawing furniture,178
drawing jewellery,5
drawing map,90
drawing painting,474
drawing photograph,29
drawing postcard,563
drawing sculpture,65
drawing tapestry,2
drawing textile,9
drawing toy,21
furniture jewellery,38
furniture map,5
furniture painting,308
furniture photograph,83
furniture postcard,11
furniture sculpture,84
furniture tapestry,20
furniture textile,142
furniture toy,47
furniture woodwork,1
jewellery painting,46
jewellery photograph,4
jewellery postcard,1
jewellery sculpture,5
jewellery textile,10
jewellery toy,9
map painting,5
map photograph,3
map postcard,4
map sculpture,2
map textile,14
painting photograph,20
painting postcard,17
painting sculpture,770
painting tapestry,8
painting textile,63
painting toy,5
painting inscription,3
photograph postcard,1146
photograph sculpture,25
photograph textile,35
photograph toy,12
postcard sculpture,33
postcard tapestry,4
postcard toy,6
sculpture textile,14
sculpture toy,5
sculpture inscription,33
tapestry textile,50
textile toy,506
building drawing painting,13
building drawing postcard,5
building furniture painting,1
building painting postcard,3
building photograph toy,1
building sculpture textile,1
ceramics drawing painting,1
ceramics furniture painting,1
ceramics furniture textile,2
drawing painting postcard,2
drawing painting sculpture,4
drawing photograph textile,1
drawing sculpture textile,1
furniture jewellery painting,16
furniture painting postcard,2
furniture painting sculpture,19
furniture painting tapestry,6
furniture painting textile,3
furniture painting toy,2
furniture photograph textile,1
furniture photograph toy,4
furniture postcard tapestry,4
furniture sculpture toy,2
furniture tapestry textile,1
jewellery painting sculpture,1
painting postcard tapestry,2
